PDB,binder
1nk4,1
1njx,1
1u4b,1
1l5u,1
2hhs,1
2hw3,1
1nk9,1
1xc9,1
1ua0,1
1nkb,1
2hhv,1
2hvh,1
2hhw,1
1u49,1
2hvi,1
1lv5,0
1l3u,1
1nk6,1
1njz,1
3bdp,0
2hhq,1
1nke,1
1njw,1
2hht,1
4bdp,0
1ua1,0
1nkc,1
1u45,1
1nk0,1
1u48,1
1l3s,1
2bdp,0
1nk5,1
1njy,1
1l3v,1
1nk8,1
2hhu,1
1u47,1
2hhx,1
1l3t,1
1nk7,1
b4cb,1
b4f0,1
b4f3,1
b506,1
b507,1
b9dd,1
b9fc,1
2og0,0
1rh6,0
2uz4,0
9mht,1
2c7r,0
2c7p,0
2hr1,0
6mht,0
1skm,0
1fjx,0
1m0e,0
2c7q,0
2uyc,0
2c7o,0
3cvs,0
3cwa,0
3cws,0
3cw7,0
1diz,0
3cvt,0
3cwt,0
1mj2,0
1mjm,0
1mjo,0
1mjq,0
1cz0,0
1a74,0
1ipp,0
2o6m,0
1a73,0
1cyq,0
1rpe,0
1per,0
2or1,0
3cro,0
1y8z,0
1ya6,0
1y6f,1
2nqj,1
2nq9,1
1qum,1
1hu0,0
2nof,0
1yqk,0
1n39,1
1ebm,0
2noz,0
2noi,0
1yqr,0
1lww,0
1m3h,0
1lwy,0
2nob,0
1n3a,1
1yqm,0
1lwv,0
2noe,0
2noh,0
1m3q,0
6g3y,0
1mus,0
1muh,0
1mur,0
3ecp,0
2i06,0
2ql2,0
1hcq,0
2c7a,0
1r4o,0
2nll,0
1lat,0
3cbb,0
1dsz,0
1by4,0
1ga5,0
1r0o,0
1a6y,0
2a66,0
2han,0
2gih,0
1tx3,0
1xhv,0
2gij,0
2gig,0
3e3y,0
2gii,0
3e40,0
3bie,1
3bi3,1
3bkz,1
4rfr,0
3t4v,0
3t3y,0
4jht,0
3t4h,0
1zs4,0
1mow,0
3coq,0
2efw,0
1f4k,0
1qrh,0
1cl8,0
1ckq,0
2oxv,0
1qps,0
1eri,0
2evf,0
2euz,0
2euw,0
2evi,0
2eux,0
1mnn,0
2etw,0
2euv,0
2evj,0
2evg,0
2evh,0
2vla,0
1emj,0
2oxm,0
1emh,0
2oyt,0
2ssp,0
1q3f,0
2hxm,0
3fci,0
3fcf,0
3fcl,0
3fck,0
2bnw,0
1d2i,0
1dfm,0
1egw,0
1n6j,0
1mnm,0
1u8b,0
2fl3,0
2fkc,0
2r1j,0
1iaw,0
1tc3,0
1r7m,0
3c0w,0
3c0x,0
2a07,0
3bpy,0
3coa,0
3co6,0
2c6y,0
1nkp,0
2pvi,0
1eyu,0
3pvi,0
1f0o,0
2opf,0
1k3w,0
1l1t,0
1k82,0
1nnj,0
3c58,0
1k3x,0
1tdz,0
1pji,0
1l2b,0
2f5p,0
1r2y,0
2f5n,0
1pjj,1
2f5s,0
1r2z,0
2ea0,0
1l2d,0
1xc8,0
2f5q,0
1pm5,1
1l2c,0
1l1z,0
2f5o,0
2is6,0
1rio,0
1lmb,0
1lli,0
1ku7,0
2pyj,0
2pyl,0
1ais,0
1d3u,0
2e1c,0
1je8,0
1zg1,0
1zg5,0
1mey,0
1tez,0
3cvu,0
3dpg,0
3dvo,0
3dw9,0
1ixy,1
1sxp,0
1sxq,0
1m5r,1
1J39,1
1bl0,0
1rvb,0
1bsu,0
1bua,0
1b94,0
1stx,0
1eon,0
2b0e,0
1bgb,0
1sx8,0
1sx5,0
1b96,0
1b95,0
1rvc,0
1eo3,0
1rv5,0
1suz,0
2ge5,0
1b97,0
1eo4,0
1rva,0
1bss,0
1az0,0
2b0d,0
1eoo,0
1l3l,0
1jey,0
1ytf,0
1nvp,0
1nh2,0
1ubd,0
1g2f,0
1jk2,0
1a1h,0
1p47,0
2i13,0
1a1g,0
1g2d,0
1a1j,0
1a1l,0
1a1i,0
1zaa,0
1a1f,0
1aay,0
1a1k,0
1jk1,0
1gd2,0
1puf,0
1b72,0
1b8i,0
1akh,0
2yvh,0
2isz,0
3btx,1
3bty,0
3bu0,1
1jj6,0
1jkr,0
1hcr,0
1ijw,0
1jko,0
1h8a,0
1gu4,0
2e42,0
1gtw,0
1gu5,0
1h89,0
2e43,0
1j1v,0
3bs1,0
1bg1,0
1fiu,0
1t2t,0
1i3j,0
1azq,0
1wto,0
1wtq,0
1wtp,0
1c8c,0
1ca6,0
1wtv,0
1wtx,0
1bnz,0
1ca5,0
1bf4,0
1wtw,0
1xyi,0
1wtr,0
1azp,0
1wd0,0
2e52,0
1fjl,0
9ant,0
2hdd,0
2hot,0
2hos,0
3hdd,0
1jgg,0
1du0,0
2h1k,0
1ig7,0
2rbf,0
1b3t,0
6npi,0
6npm,0
6npp,0
1pp7,0
1zme,0
1rm1,0
1yrn,0
1le8,0
1k61,0
2dtu,1
3cq8,0
3crx,0
2hof,0
1ma7,0
1kbu,0
1f44,0
4crx,0
1pvp,0
1crx,0
2crx,0
1xo0,0
1r8e,0
1k78,0
6pax,0
1pdn,0
2ve9,0
1skn,0
2vy2,0
2vy1,0
1ozj,0
2irf,0
2pi0,0
1r71,0
1wte,0
1oe5,1
1oe4,1
2ofi,1
4ai5,0
4aia,0
1p7m,0
2ata,0
2ac0,0
2ahi,0
2geq,0
1tup,0
1tsr,0
3exl,0
3exj,0
2ady,0
5o1d,0
5g4m,0
5aoi,0
5aba,0
4agl,0
2vuk,0
4agp,0
4agm,0
4agq,0
5g4o,0
5o1f,0
5o1h,0
5a7b,0
5g4n,0
5aoj,0
5aol,0
4ago,0
4agn,0
5o1e,0
5o1b,0
5o1c,0
6gge,0
6ggd,0
5ab9,0
5o1a,0
5o1i,0
5o1g,0
5aom,0
5aok,0
1w7a,0
1wbb,0
1ewq,0
1oh6,0
1e3m,0
1wb9,0
1oh7,0
1wbd,0
1ckt,0
2b9s,0
1k4t,0
1a35,0
1rrj,0
1a31,0
2bop,0
1jj4,0
2bam,0
1bhm,0
3bam,0
1esg,0
1f2i,0
2p66,1
2pfn,0
2pfp,0
2bcr,0
1tv9,0
2gws,0
1xsl,0
2ihm,0
1rzt,0
2i9g,0
3c5g,0
2isp,0
3c5f,0
2bcu,0
1bpx,0
3c2m,0
2fmp,0
1zjm,0
2bcv,0
2fms,0
2pfo,0
2pfq,0
3c2k,0
2bcs,0
1xsp,0
1bpy,0
2pxi,0
1xsn,0
2fmq,0
2bcq,0
2iso,0
6iph,0
6ipi,0
4iqt,0
4iqu,0
6ipk,0
6ipl,0
6ipm,0
6ipj,0
6ak6,0
6aeh,0
3brf,0
3brd,0
2gb7,0
2fqz,0
1qaj,0
2fvs,0
1d1u,0
2fvr,0
1n4l,0
1i6j,0
1ztt,0
2r2t,0
2fvp,0
2fjv,0
2fvq,0
2r2r,0
1qai,0
1ztw,0
2fjx,0
2fjw,0
2r2u,0
2p0j,0
2fcc,0
3hts,0
1fyl,0
1fym,0
1vrl,0
1rrq,0
1rrs,0
1p71,0
1p78,0
1p51,0
1owg,0
1ouz,0
2ht0,0
1ihf,0
1owf,0
2h7g,0
2aq4,0
3bjy,0
3ere,0
1hlv,0
1nlw,0
1j3e,0
1eqz,0
1m19,0
1s32,0
2cv5,0
2nqb,0
3c1b,0
1kx5,0
2pyo,0
1m18,0
1kx3,0
1p3i,0
1p3l,0
1cw0,0
1dmu,1
1h6f,0
1xbr,0
2fld,0
1m5x,0
3clz,0
2zkd,0
3fde,0
2zo0,0
3f8i,0
3f8j,0
2zo1,0
2odi,0
2q10,0
2iie,0
2qoj,0
1bdt,0
1oup,0
1gxp,0
1ign,0
3c25,0
1f4r,0
1f6o,0
1ewn,0
1qrv,0
3bm3,0
2ntc,0
2itl,0
2nl8,0
2oaa,0
1dp7,0
1au7,0
1e3o,0
1am9,0
1sfu,0
3f21,0
1qbj,0
3f22,0
2z3x,0
2ezv,0
2heo,0
1j75,0
2voa,0
2qhb,0
1v15,0
1zns,0
1pt3,0
3e54,0
2h7h,0
1jnm,0
2g1p,0
1yf3,0
1pue,0
1bc7,0
1bc8,0
1dux,0
1yo5,0
1d02,0
2vs8,0
2vs7,0
3brg,0
5E24,1
1qnb,0
1qnc,0
1qn4,0
1qn8,0
1qn5,0
1qn9,0
1qna,0
1qn3,0
1qn6,0
1qne,0
1qn7,0
1cdw,0
1sa3,0
1n3e,0
2i3q,0
2vbo,0
1n3f,0
1g9z,0
1u0c,0
2vbj,0
1t9i,0
1t9j,0
2i3p,0
2vbn,0
1g9y,0
2vbl,0
1jx4,0
1s0o,0
2rdj,0
1n56,1
2jeg,0
2ia6,0
3epg,0
2asd,0
2jej,0
1s9f,0
2bq3,0
2dpi,0
1rys,0
1jxl,0
2c28,0
1n48,1
2asj,0
2uvv,0
2j6u,0
1t3n,0
2r8h,0
1s97,0
2ibk,0
2bqr,0
1ryr,0
2imw,0
2jef,0
1zet,0
1s10,0
2alz,0
2br0,0
2agq,0
2j6s,0
2uvw,0
2flp,0
2dpj,0
2fln,0
2r8i,0
2bqu,0
2jei,0
2r9l,0
1dc1,0
2ex5,0
1lq1,0
2hap,0
1hwt,0
1w0t,0
1w0u,0
2aor,0
2aoq,0
1orp,0
1p59,1
1orn,0
2c9l,0
2h27,0
2o49,0
2o4a,0
2d5v,0
2ram,0
1nfk,0
1a3q,0
3c2i,0
1RHZ,0
1xk5,0
ba20,1
4pnk,0
1xhm,0
4j73,0
3ah8,1
4mk0,0
8I2G,1
3I4R,0
1XKS,0
4I0O,0
4I79,0
4YCZ,0
4KNH,0
5HB4,0
5CWV,0
1KO6,0
5HB7,0
4KF7,0
1SBC,0
4nmx,0
1bjr,0
3DYB,1
1UOQ,0
3K1J,0
3k1j,0
4H4F,0
1YPH,0
1bhx,0
3po1,0
2p8o,0
6cha,0
2vgc,0
3vgc,0
4vgc,0
1vgc,0
1ggd,0
2pks,0
6gch,0
7gch,0
7C9B,0
6S7V,0
5OC9,0
6r7x,0
6FL9,0
5lg3,0
3p4w,0
4z90,0
3rqw,0
5l4h,0
3p50,0
5l4e,0
4twd,0
4f8h,0
3JAE,1
3JAD,1
3JAF,1
6FLI,1
6FVQ,1
b344,1
b354,1
b387,1
6UFE,0
6RV3,0
6W8C,1
6W7C,1
8DE7,1
1BL8,0
7NS8,0
3s0e,0
3s0d,0
1qin,0
4qxo,0
4loi,0
4loh,0
4ksy,0
4qxr,0
6a05,0
4f9g,0
6a04,0
6a03,0
6dxl,0
6mx3,0
6mxe,0
4yp1,0
6a06,0
4qxq,0
4ef4,0
6dxg,0
4loj,0
4kby,0
4emt,0
5c28,0
3ckz,1
5cxa,0
1hdq,0
1e2k,0
1e2l,0
3ibi,0
5dnu,0
3bxh,1
3bxf,1
3bxg,1
4l4z,0
3bxe,1
4l51,1
4l50,0
4yrd,0
5g1a,0
2vwo,0
4y79,0
